Date,Open,High,Low,Close,Adj Close,Volume
2001-08-01,1704.239990,1711.170044,1584.770020,1591.180054,1591.180054,0
2001-09-01,1590.290039,1590.290039,1356.609985,1462.689941,1462.689941,0
2001-10-01,1459.329956,1553.260010,1459.329956,1490.579956,1490.579956,0
2001-11-01,1524.959961,1629.760010,1524.959961,1604.920044,1604.920044,0
2001-12-01,1591.479980,1649.000000,1577.579956,1618.979980,1618.979980,0
2002-01-01,1628.510010,1653.689941,1553.229980,1595.349976,1595.349976,0
2002-02-01,1584.060059,1584.060059,1525.260010,1564.589966,1564.589966,0
2002-03-01,1600.020020,1655.439941,1600.020020,1623.430054,1623.430054,0
2002-04-01,1622.229980,1622.229980,1508.750000,1525.000000,1525.000000,0
2002-05-01,1538.650024,1569.170044,1486.569946,1513.770020,1513.770020,0
2002-06-01,1476.260010,1489.880005,1382.780029,1405.939941,1405.939941,0
2002-07-01,1375.880005,1405.199951,1133.989990,1296.339966,1296.339966,0
2002-08-01,1258.219971,1370.849976,1187.069946,1304.859985,1304.859985,0
2002-09-01,1250.680054,1296.250000,1163.040039,1163.040039,1163.040039,0
2002-10-01,1209.589966,1284.729980,1108.910034,1265.410034,1265.410034,0
2002-11-01,1287.130005,1343.469971,1252.420044,1339.890015,1339.890015,0
2002-12-01,1337.349976,1337.349976,1254.660034,1261.180054,1261.180054,0
2003-01-01,1303.170044,1336.250000,1212.229980,1228.140015,1228.140015,0
2003-02-01,1234.790039,1234.790039,1174.430054,1209.709961,1209.709961,0
2003-03-01,1200.599976,1289.739990,1152.150024,1221.459961,1221.459961,0
2003-04-01,1236.300049,1324.680054,1236.300049,1322.069946,1322.069946,0
2003-05-01,1321.390015,1391.719971,1321.390015,1391.719971,1391.719971,0
2003-06-01,1396.699951,1462.479980,1396.699951,1409.479980,1409.479980,0
2003-07-01,1421.030029,1458.510010,1416.880005,1434.329956,1434.329956,0
2003-08-01,1419.640015,1462.300049,1398.420044,1462.300049,1462.300049,0
2003-09-01,1482.609985,1509.469971,1446.770020,1446.770020,1446.770020,0
2003-10-01,1479.229980,1528.619995,1479.229980,1528.619995,1528.619995,0
2003-11-01,1540.709961,1542.390015,1505.760010,1542.069946,1542.069946,0
2003-12-01,1559.500000,1622.939941,1544.310059,1622.939941,1622.939941,0
2004-01-01,1618.050049,1687.439941,1618.050049,1652.729980,1652.729980,0
2004-02-01,1658.790039,1693.030029,1646.290039,1675.699951,1675.699951,0
2004-03-01,1691.900024,1693.760010,1598.849976,1650.420044,1650.420044,0
2004-04-01,1659.160034,1686.239990,1624.510010,1624.510010,1624.510010,0
2004-05-01,1639.459961,1647.650024,1592.229980,1646.800049,1646.800049,0
2004-06-01,1647.569946,1682.750000,1641.430054,1678.829956,1678.829956,0
2004-07-01,1661.530029,1661.530029,1596.479980,1623.260010,1623.260010,0
2004-08-01,1630.479980,1634.829956,1567.949951,1629.829956,1629.829956,0
2004-09-01,1632.819946,1668.390015,1630.670044,1647.479980,1647.479980,0
2004-10-01,1672.489990,1688.829956,1619.479980,1672.650024,1672.650024,0
2004-11-01,1673.109985,1754.329956,1673.109985,1740.329956,1740.329956,0
2004-12-01,1766.900024,1801.979980,1745.839966,1799.550049,1799.550049,0
2005-01-01,1784.959961,1784.959961,1729.329956,1755.680054,1755.680054,0
2005-02-01,1767.790039,1804.170044,1762.760010,1792.630005,1792.630005,0
2005-03-01,1802.790039,1825.699951,1737.939941,1760.890015,1760.890015,0
2005-04-01,1749.449951,1777.349976,1697.739990,1727.489990,1727.489990,0
2005-05-01,1735.430054,1793.339966,1725.150024,1782.459961,1782.459961,0
2005-06-01,1799.150024,1822.349976,1783.449951,1784.989990,1784.989990,0
2005-07-01,1789.849976,1865.640015,1789.849976,1851.369995,1851.369995,0
2005-08-01,1853.130005,1868.060059,1810.520020,1834.479980,1834.479980,0
2005-09-01,1836.369995,1866.739990,1820.489990,1849.329956,1849.329956,0
2005-10-01,1846.170044,1846.170044,1772.359985,1818.500000,1818.500000,0
2005-11-01,1812.109985,1914.410034,1812.109985,1887.280029,1887.280029,0
2005-12-01,1910.229980,1923.439941,1887.939941,1887.939941,1887.939941,0
2006-01-01,1918.959961,1958.560059,1909.349976,1937.930054,1937.930054,0
2006-02-01,1941.750000,1963.579956,1900.579956,1943.189941,1943.189941,0
2006-03-01,1959.770020,1985.689941,1931.729980,1967.380005,1967.380005,0
2006-04-01,1971.930054,1994.229980,1954.250000,1993.790039,1993.790039,0
2006-05-01,1985.550049,2017.339966,1914.380005,1936.410034,1936.410034,0
2006-06-01,1960.280029,1964.109985,1866.920044,1939.030029,1939.030029,0
2006-07-01,1954.489990,1954.489990,1885.819946,1951.000000,1951.000000,0
2006-08-01,1942.219971,1998.079956,1936.300049,1997.420044,1997.420044,0
2006-09-01,2008.469971,2053.929932,1982.930054,2048.889893,2048.889893,0
2006-10-01,2041.989990,2132.389893,2041.989990,2115.649902,2115.649902,0
2006-11-01,2100.370117,2162.649902,2095.679932,2155.889893,2155.889893,0
2006-12-01,2149.850098,2199.149902,2149.850098,2186.129883,2186.129883,0
2007-01-01,2183.919922,2221.560059,2173.290039,2219.189941,2219.189941,0
2007-02-01,2231.610107,2255.479980,2163.110107,2175.780029,2175.780029,0
2007-03-01,2170.169922,2225.260010,2125.340088,2200.120117,2200.120117,0
2007-04-01,2205.850098,2317.500000,2205.850098,2297.580078,2297.580078,0
2007-05-01,2303.679932,2377.750000,2303.679932,2377.750000,2377.750000,0
2007-06-01,2386.629883,2391.129883,2316.629883,2338.250000,2338.250000,0
2007-07-01,2363.280029,2417.500000,2265.750000,2265.750000,2265.750000,0
2007-08-01,2282.300049,2333.239990,2193.399902,2299.709961,2299.709961,0
