Year;Month;News-Based Historical Economic Policy Uncertainty
1980;12;115,7821
1981;1;147,3545
1981;2;108,0241
1981;3;109,4835
1981;4;124,558
1981;5;108,4762
1981;6;141,2491
1981;7;135,1497
1981;8;107,0178
1981;9;150,8744
1981;10;136,8952
1981;11;106,1392
1981;12;117,4862
1982;1;167,318
1982;2;137,5912
1982;3;159,5627
1982;4;149,4663
1982;5;161,0883
1982;6;169,7049
1982;7;146,796
1982;8;157,7541
1982;9;155,1537
1982;10;146,5224
1982;11;139,23
1982;12;150,5641
1983;1;161,4431
1983;2;156,5593
1983;3;140,6617
1983;4;139,6395
1983;5;130,9455
1983;6;143,2231
1983;7;146,5733
1983;8;113,5785
1983;9;121,7775
1983;10;131,2115
1983;11;134,2726
1983;12;109,9205
1984;1;162,6563
1984;2;165,9441
1984;3;134,2677
1984;4;119,7732
1984;5;115,5915
1984;6;145,0166
1984;7;132,601
1984;8;139,6088
1984;9;119,6408
1984;10;122,9706
1984;11;144,2975
1984;12;175,2976
1985;1;134,9415
1985;2;121,8079
1985;3;134,2207
1985;4;127,061
1985;5;119,0993
1985;6;157,3906
1985;7;145,6676
1985;8;167,3834
1985;9;156,043
1985;10;149,8345
1985;11;131,0143
1985;12;154,8383
1986;1;201,5741
1986;2;173,573
1986;3;150,11
1986;4;141,0583
1986;5;164,018
1986;6;158,9907
1986;7;169,5977
1986;8;152,7596
1986;9;166,6262
1986;10;135,1705
1986;11;133,8921
1986;12;119,2337
1987;1;153,546
1987;2;118,1115
1987;3;141,3443
1987;4;119,2543
1987;5;134,5332
1987;6;145,7477
1987;7;129,3706
1987;8;82,48333
1987;9;95,74843
1987;10;236,2088
1987;11;227,3321
1987;12;197,2924
1988;1;176,5701
1988;2;144,3006
1988;3;124,0653
1988;4;134,4099
1988;5;140,0833
1988;6;127,7482
1988;7;127,3653
1988;8;125,1786
1988;9;124,734
1988;10;133,4486
1988;11;147,6677
1988;12;111,0015
1989;1;121,0835
1989;2;99,19811
1989;3;98,11185
1989;4;125,9048
1989;5;125,155
1989;6;134,7142
1989;7;133,0507
1989;8;122,3524
1989;9;108,1751
1989;10;109,4214
1989;11;146,5072
1989;12;138,1042
1990;1;144,2164
1990;2;147,5271
1990;3;133,3389
1990;4;123,9042
1990;5;129,475
1990;6;126,0543
1990;7;129,0263
1990;8;172,0805
1990;9;194,9201
1990;10;177,4986
1990;11;189,8289
1990;12;169,2909
1991;1;242,28
1991;2;147,3303
1991;3;143,1634
1991;4;132,028
1991;5;120,995
1991;6;107,8709
1991;7;115,5907
1991;8;132,3799
1991;9;156,4031
1991;10;152,8078
1991;11;181,9134
1991;12;220,2053
1992;1;152,248
1992;2;190,2138
1992;3;114,2015
1992;4;118,4693
1992;5;106,9031
1992;6;165,9489
1992;7;152,8375
1992;8;165,3436
1992;9;176,0338
1992;10;204,0242
